Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Original RF,0.8369565217391305,0.8761904761904762,0.8440366972477065,0.8598130841121495,0.9053822629969419
Tuned RF,0.842391304347826,0.8921568627450981,0.8348623853211009,0.8625592417061612,0.9100917431192661
Gradient Boosting,0.8097826086956522,0.87,0.7981651376146789,0.8325358851674641,0.9002446483180429
Voting Ensemble,0.8097826086956522,0.87,0.7981651376146789,0.8325358851674641,0.897737003058104
